,Zip Code,City,County
0,07001,Avenel,Middlesex
1,07002,Bayonne,Hudson
2,07003,Bloomfield,Essex
3,07004,Fairfield,Essex
4,07005,Boonton,Morris
5,07006,Caldwell,Essex
6,07007,Caldwell,Essex
7,07008,Carteret,Middlesex
8,07009,Cedar Grove,Essex
9,07010,Cliffside Park,Bergen
10,07011,Clifton,Passaic
11,07012,Clifton,Passaic
12,07013,Clifton,Passaic
13,07014,Clifton,Passaic
14,07015,Clifton,Passaic
15,07016,Cranford,Union
16,07017,East Orange,Essex
17,07018,East Orange,Essex
18,07019,East Orange,Essex
19,07020,Edgewater,Bergen
20,07021,Essex Fells,Essex
21,07022,Fairview,Bergen
22,07023,Fanwood,Union
23,07024,Fort Lee,Bergen
24,07026,Garfield,Bergen
25,07027,Garwood,Union
26,07028,Glen Ridge,Essex
27,07029,Harrison,Hudson
28,07030,Hoboken,Hudson
29,07031,North Arlington,Bergen
30,07032,Kearny,Hudson
31,07033,Kenilworth,Union
32,07034,Lake Hiawatha,Morris
33,07035,Lincoln Park,Morris
34,07036,Linden,Union
35,07039,Livingston,Essex
36,07040,Maplewood,Essex
37,07041,Millburn,Essex
38,07042,Montclair,Essex
39,07043,Montclair,Essex
40,07044,Verona,Essex
41,07045,Montville,Morris
42,07046,Mountain Lakes,Morris
43,07047,North Bergen,Hudson
44,07050,Orange,Essex
45,07051,Orange,Essex
46,07052,West Orange,Essex
47,07054,Parsippany,Morris
48,07055,Passaic,Passaic
49,07057,Wallington,Bergen
50,07058,Pine Brook,Morris
51,07059,Warren,Somerset
52,07060,Plainfield,Union
53,07061,Plainfield,Union
54,07062,Plainfield,Union
55,07063,Plainfield,Union
56,07064,Port Reading,Middlesex
57,07065,Rahway,Union
58,07066,Clark,Union
59,07067,Colonia,Middlesex
60,07068,Roseland,Essex
61,07069,Watchung,Somerset
62,07070,Rutherford,Bergen
63,07071,Lyndhurst,Bergen
64,07072,Carlstadt,Bergen
65,07073,East Rutherford,Bergen
66,07074,Moonachie,Bergen
67,07075,Wood Ridge,Bergen
68,07076,Scotch Plains,Union
69,07077,Sewaren,Middlesex
70,07078,Short Hills,Essex
71,07079,South Orange,Essex
72,07080,South Plainfield,Middlesex
73,07081,Springfield,Union
74,07082,Towaco,Morris
75,07083,Union,Union
76,07086,Weehawken,Hudson
77,07087,Union City,Hudson
78,07088,Vauxhall,Union
79,07090,Westfield,Union
80,07091,Westfield,Union
81,07092,Mountainside,Union
82,07093,West New York,Hudson
83,07094,Secaucus,Hudson
84,07095,Woodbridge,Middlesex
85,07096,Secaucus,Hudson
86,07097,Jersey City,Hudson
87,07099,Kearny,Hudson
88,07101,Newark,Essex
89,07102,Newark,Essex
90,07103,Newark,Essex
91,07104,Newark,Essex
92,07105,Newark,Essex
93,07106,Newark,Essex
94,07107,Newark,Essex
95,07108,Newark,Essex
96,07109,Belleville,Essex
97,07110,Nutley,Essex
98,07111,Irvington,Essex
99,07112,Newark,Essex
100,07114,Newark,Essex
101,07175,Newark,Essex
102,07182,Newark,Essex
103,07184,Newark,Essex
104,07188,Newark,Essex
105,07189,Newark,Essex
106,07191,Newark,Essex
107,07192,Newark,Essex
108,07193,Newark,Essex
109,07194,Newark,Essex
