,Town,Crime rates per 1000 people
1,Stone Harbor,150.8
2,Avalon,124.4
3,Wildwood,109.4
4,Brooklawn,108.6
5,Sea Isle City,94
6,Atlantic City,91.5
7,Salem,77.8
8,Millville,75.7
9,Seaside Heights,72.6
10,Walpack Twp.,66.7
11,Beach Haven,64.9
12,Somerdale,64.1
13,Watchung,62.4
14,Asbury Park,61.1
15,Camden,57.8
16,Bridgeton,56.8
17,Pohatcong Twp.,52.6
18,North Wildwood,49.9
19,Woodbury,49.2
20,Neptune Twp.,48.7
21,Vineland,47.5
22,Loch Arbour,47.4
23,Mantoloking,46.9
24,Berlin,44.7
25,Irvington,43.1
26,Deptford,43
27,West Wildwood,43
28,Paulsboro,42.9
29,Ocean City,42.6
30,Wrightstown,42.6
31,Penns Grove,42.1
32,Paramus,41.6
33,Eatontown,41.5
34,Harvey Cedars,40.9
35,Clementon,40.8
36,Newark,40.6
37,Deal,40.5
38,Hamilton Twp. (Atlantic),40.4
39,Oaklyn,40.3
40,Cape May,39.9
41,Elizabeth,39.3
42,Orange,38.8
43,Ship Bottom,37.1
44,Trenton,37.1
45,Long Beach Twp.,36.9
46,Margate,36.9
47,Audubon,36.5
48,Lindenwold,36.1
49,New Brunswick,35.8
50,Neptune City,34.4
51,Mount Holly,34
52,Lawnside,33.6
53,Belmar,32.9
54,Middle Twp.,32.9
55,Paterson,32.9
56,Pennsauken,32.8
57,Runnemede,32.6
58,Ventnor,32
59,Glassboro,31.7
60,Bellmawr,31.4
61,Point Pleasant Beach,31.1
62,Commercial Twp.,30.9
63,Egg Harbori City,30.5
64,Secaucus,30.4
65,Riverdale,29.9
66,Mount Ephraim,29.8
67,Plainfield City,29.7
68,Shiloh,29.5
69,Linden,29.2
70,Pine Hill,29.2
71,Somers Point,29.2
72,Beverly City,28.8
73,Seaside Park,28.8
74,Cherry Hill,28.5
75,Manville,28.4
76,Westville,28.4
77,Wildwood Crest,28.4
78,Chesilhurst,28.2
79,Barnegat Light,27.9
80,Keansburg,27.6
81,Laurel Springs,27.6
82,Pleasantville,27.4
83,Bradley Beach,27.3
84,Magnolia,26.7
85,Hillside Twp.,26.4
86,South Toms River,26.4
87,Collingswood,26.3
88,Totowa,26.3
89,Merchantville,26.2
90,Pemberton Twp.,26
91,Absecon City,25.8
92,Gloucester City,25.8
93,Woodbury,25.5
94,Long Branch,25.3
95,Burlington City,25.1
96,Toms River,24.5
97,Hi-Nella Boro,24.4
98,Weehawken,24.4
99,Allenhurst,24.3
100,Haddon Twp.,24.3
101,Buena,24.1
102,Glen Ridge,23.5
103,Carney's Point Twp.,23.4
104,Ewing Twp.,23.4
105,Fairfield Twp.,23.4
106,Mansfield Twp. (Warren),23.4
107,Logan Twp.,23
108,East Rutherford,22.9
109,Ocean Gate,22.9
110,Willingboro,22.8
111,Lumberton Twp.,22.7
112,Pennsville,22.6
113,Belleville,22.5
114,Lawrence Twp. (Mercer),22.5
115,Surf City,22.5
116,Harrison,22.4
117,Ocean Twp. (Monmouth),22.4
