id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
34026095,34,New Jersey,NJ,Atlantic County,Aberdeen,Absecon city,Track,Track,7747,732,3103463,238469,40.4137475,-74.220315,101598,98132,59812,430.5964551
3401555,34,New Jersey,NJ,Atlantic County,Absecon,Absecon city,City,place,8201,609,14162656,4528732,39.423563,-74.493025,78832,63055,55458,1733.457107
340225,34,New Jersey,NJ,Atlantic County,Absecon,Absecon city,Track,Track,8201,609,22183025,17534672,39.4313704,-74.4367916,86527,77383,59592,409.5125304
34022195,34,New Jersey,NJ,Atlantic County,Allendale,Absecon city,Track,Track,7401,201,8019272,55900,41.032669,-74.1338262,120255,116804,92850,167.6161568
34021345,34,New Jersey,NJ,Atlantic County,Asbury Park,Absecon city,Track,Track,7712,732,918440,72774,40.2255764,-74.0162281,67512,42403,69454,694.651019
34026225,34,New Jersey,NJ,Atlantic County,Asbury Park,Absecon city,Track,Track,7712,732,1269062,198255,40.2208449,-74.0059845,57709,27268,56899,102.1927963
34026235,34,New Jersey,NJ,Atlantic County,Asbury Park,Absecon city,Track,Track,7712,732,918440,72774,40.2255764,-74.0162281,65791,300000,42041,103.7978319
34026245,34,New Jersey,NJ,Atlantic County,Asbury Park,Absecon city,Track,Track,7712,732,963851,145400,40.2118195,-74.0069439,54290,36321,39327,240.7596072
34023575,34,New Jersey,NJ,Atlantic County,Atco,Absecon city,Track,Track,8004,856,9764339,171823,39.7728713,-74.8861211,77917,300000,44685,322.5164346
34023585,34,New Jersey,NJ,Atlantic County,Atco,Absecon city,Track,Track,8004,856,21226220,361762,39.7568322,-74.9118985,80212,61292,60022,308.5515441
34022015,34,New Jersey,NJ,Atlantic County,Atlantic City,Absecon city,Track,Track,8401,609,523330,670296,39.3454055,-74.4588476,91356,70301,74619,246.722967
34022025,34,New Jersey,NJ,Atlantic County,Atlantic City,Absecon city,Track,Track,8401,609,288846,0,39.3657376,-74.4341321,33603,14374,41918,338.175107
34022035,34,New Jersey,NJ,Atlantic County,Atlantic City,Absecon city,Track,Track,8401,609,300089,0,39.368145,-74.426065,29750,25267,22286,148.3262221
34025,34,New Jersey,NJ,Atlantic County,Atlantic City,Absecon city,Track,Track,8401,609,267914,85561,39.3573721,-74.4481225,42491,31801,39234,705.9117426
340265,34,New Jersey,NJ,Atlantic County,Atlantic City,Absecon city,Track,Track,8401,609,762742,629979,39.3426337,-74.4751972,66776,46583,58578,655.043056
34021285,34,New Jersey,NJ,Atlantic County,Atlantic Highlands,Absecon city,Track,Track,7716,732,21754445,3650600,40.3893365,-74.0293876,116683,104713,77338,861.136888
34025995,34,New Jersey,NJ,Atlantic County,Atlantic Highlands,Absecon city,Track,Track,7716,732,3356219,8469464,40.4132193,-74.0207698,89823,78722,61026,234.7184534
34026025,34,New Jersey,NJ,Atlantic County,Atlantic Highlands,Absecon city,Track,Track,7716,732,21754445,3650600,40.3893365,-74.0293876,104336,92021,76379,529.3003021
34023435,34,New Jersey,NJ,Atlantic County,Audubon,Absecon city,Track,Track,8106,856,1424823,0,39.893342,-75.0638041,89741,300000,68465,163.2940353
34023685,34,New Jersey,NJ,Atlantic County,Avalon,Absecon city,Track,Track,8202,609,10753460,7910493,39.0900626,-74.7322187,90638,78623,69459,126.4603331
3402505,34,New Jersey,NJ,Atlantic County,Avalon,Absecon city,Track,Track,8202,609,10753460,7910493,39.0900626,-74.7322187,105761,84144,77996,335.5113652
34025645,34,New Jersey,NJ,Atlantic County,Avenel,Absecon city,Track,Track,7001,732,2118398,0,40.5770377,-74.2794652,65441,48383,58329,388.7513251
34025975,34,New Jersey,NJ,Atlantic County,Avenel,Absecon city,Track,Track,7001,732,5761360,51413,40.584185,-74.261911,86371,70226,63334,516.1687596
