Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
08903,New Brunswick,NJ,40.513854,-74.445098,-5,1,"40.513854, -74.445098"
08072,Quinton,NJ,39.546172,-75.41367,-5,1,"39.546172, -75.41367"
07510,Paterson,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08808,Broadway,NJ,40.737213,-75.046926,-5,1,"40.737213, -75.046926"
07847,Kenvil,NJ,40.88038,-74.62009,-5,1,"40.88038, -74.62009"
08346,Newtonville,NJ,39.562719,-74.85853,-5,1,"39.562719, -74.85853"
07650,Palisades Park,NJ,40.845742,-73.99479,-5,1,"40.845742, -73.99479"
08734,Lanoka Harbor,NJ,39.862864,-74.16624,-5,1,"39.862864, -74.16624"
07109,Belleville,NJ,40.7935,-74.16144,-5,1,"40.7935, -74.16144"
08010,Beverly,NJ,40.058211,-74.91404,-5,1,"40.058211, -74.91404"
08544,Princeton,NJ,40.349206,-74.652811,-5,1,"40.349206, -74.652811"
07605,Leonia,NJ,40.862685,-73.98551,-5,1,"40.862685, -73.98551"
07878,Mount Tabor,NJ,40.872866,-74.47843,-5,1,"40.872866, -74.47843"
07881,Wallpack Center,NJ,41.125646,-74.917711,-5,1,"41.125646, -74.917711"
08885,Stanton,NJ,40.576372,-74.831105,-5,1,"40.576372, -74.831105"
07015,Clifton,NJ,41.011428,-74.304793,-5,1,"41.011428, -74.304793"
08648,Trenton,NJ,40.276782,-74.72951,-5,1,"40.276782, -74.72951"
07420,Haskell,NJ,41.026747,-74.29742,-5,1,"41.026747, -74.29742"
07115,Newark,NJ,40.718772,-74.170091,-5,1,"40.718772, -74.170091"
07498,Mahwah,NJ,40.948054,-74.083231,-5,1,"40.948054, -74.083231"
08052,Maple Shade,NJ,39.952212,-74.99464,-5,1,"39.952212, -74.99464"
08050,Manahawkin,NJ,39.707575,-74.25933,-5,1,"39.707575, -74.25933"
07936,East Hanover,NJ,40.820012,-74.36474,-5,1,"40.820012, -74.36474"
08570,Cranbury,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
07204,Roselle Park,NJ,40.665552,-74.26768,-5,1,"40.665552, -74.26768"
07919,Hardyston,NJ,41.152239,-74.581948,-5,1,"41.152239, -74.581948"
07875,Stillwater,NJ,41.043858,-74.871981,-5,1,"41.043858, -74.871981"
08647,Trenton,NJ,40.280531,-74.712018,-5,1,"40.280531, -74.712018"
07652,Paramus,NJ,40.947107,-74.07047,-5,1,"40.947107, -74.07047"
07046,Mountain Lakes,NJ,40.892021,-74.44022,-5,1,"40.892021, -74.44022"
07932,Florham Park,NJ,40.77835,-74.39009,-5,1,"40.77835, -74.39009"
07833,Delaware,NJ,40.895451,-75.06752,-5,1,"40.895451, -75.06752"
07035,Lincoln Park,NJ,40.923233,-74.29376,-5,1,"40.923233, -74.29376"
