Unnamed: 0,zip_codes,recreation,eating-drinking,shopping,inccymedd,medsaleprice,trwpublic,avg_prop_tax
0,7001,1,29,27,72883,226000,586,7092
1,7002,5,28,27,57787,260000,4834,9585
2,7003,14,29,19,73824,265000,2851,10330
3,7004,14,20,39,98000,411000,106,8913
4,7005,13,24,31,96533,389500,229,10787
5,7006,12,30,39,103740,490000,597,11883
6,7008,5,27,27,63809,210000,559,6410
7,7009,9,24,21,106214,416000,430,10049
8,7010,1,36,20,61125,400000,2090,8095
9,7011,5,20,26,59924,255000,1134,8261
10,7012,6,35,31,81550,315000,392,9508
11,7013,5,16,24,82080,315000,710,9843
12,7014,2,31,35,88513,276000,153,8739
13,7016,3,37,17,115262,426800,1284,10507
14,7017,2,34,24,38314,85000,3814,8559
15,7018,2,42,24,37911,95500,3546,8064
16,7020,7,38,22,106084,545000,1036,7687
17,7021,4,0,0,161680,793210,84,18817
18,7022,4,42,22,53379,339000,1111,8680
19,7023,8,23,19,120766,415000,394,11151
20,7024,6,36,21,70538,450000,2958,10211
21,7026,6,35,26,49138,297350,647,7394
22,7027,17,25,16,78145,355000,161,9442
23,7028,2,5,8,161848,653000,820,18414
24,7029,6,38,21,57240,290000,1326,9636
25,7030,10,32,23,112910,591000,14466,7651
26,7031,3,28,21,73885,315000,635,9521
27,7032,3,26,19,63557,260000,2418,9772
28,7033,4,30,16,99484,300000,102,8294
29,7034,6,25,15,80436,238000,190,5856
30,7035,9,25,19,83045,280000,162,8185
31,7036,5,33,22,62517,220925,1321,7848
32,7039,11,26,22,138060,551000,1075,14658
33,7040,11,32,22,119363,483000,2606,14238
34,7041,6,18,33,113422,684000,740,12541
35,7042,11,38,45,84996,510000,2742,15879
36,7043,7,27,28,156940,693800,1658,20304
37,7044,3,29,19,103733,416500,521,10866
38,7045,20,18,32,122923,517500,282,11067
39,7046,2,14,12,157991,758000,141,18916
40,7047,4,20,18,55990,278000,6276,7153
41,7050,3,41,20,34666,119000,3131,8206
42,7052,8,17,33,91951,337500,2073,12777
43,7054,10,55,36,79636,417500,530,8986
44,7055,1,30,30,34582,200000,4632,9656
45,7057,4,26,11,57396,290000,305,8473
46,7058,3,23,15,111376,573250,116,11830
47,7059,9,25,23,143664,610000,290,14139
48,7060,7,63,38,57288,145000,1577,8494
49,7062,6,39,18,63685,137000,537,8020
50,7063,2,16,5,64330,150000,315,7780
51,7064,4,18,4,82301,249900,106,7879
52,7065,7,36,18,60069,193500,1148,8251
53,7066,9,18,23,92505,376500,266,9627
54,7067,11,23,13,90749,317500,505,9579
55,7068,12,29,19,108691,520625,104,10219
56,7069,2,13,10,111929,632500,110,13793
57,7070,9,42,23,86181,385000,1563,10950
58,7071,11,25,22,71329,329750,953,8433
59,7072,4,32,84,73200,351500,322,6833
60,7073,14,12,25,71887,305000,715,6280
61,7074,2,20,29,63839,305000,84,7827
62,7075,2,23,13,96536,398107,226,8656
63,7076,12,5,12,110666,434025,1363,12407
